
Seed: 1702081805

Informe o cenário desejado (1, 2, 3, ou 4): 
Cenário 1 (60%):
-> Taxa de chegada de pessoas (s): 66.4894
-> Tempo medio de servico (s): 120
-> Tempo a ser simulado (s): 864.000
Nova Conexão: 0.025301
Nova Conexão: 0.025450
Nova Conexão: 0.038509
Nova Conexão: 0.039283
Nova Conexão: 0.041823
Nova Conexão: 0.065085
Nova Conexão: 0.088665
Nova Conexão: 0.088828
Nova Conexão: 0.097065
Nova Conexão: 0.116703
Nova Conexão: 0.121712
Nova Conexão: 0.169634
Nova Conexão: 0.180315
Nova Conexão: 0.189909
Nova Conexão: 0.199587
Nova Conexão: 0.202648
Nova Conexão: 0.232456
Nova Conexão: 0.269087
Nova Conexão: 0.323010
Nova Conexão: 0.336839
Nova Conexão: 0.377896
Nova Conexão: 0.395684
Nova Conexão: 0.416437
Nova Conexão: 0.417259
Nova Conexão: 0.418286
Nova Conexão: 0.430312
Nova Conexão: 0.430761
Nova Conexão: 0.438662
Nova Conexão: 0.449236
Nova Conexão: 0.503287
Nova Conexão: 0.530551
Nova Conexão: 0.535245
Nova Conexão: 0.541738
Nova Conexão: 0.544034
Nova Conexão: 0.546357
Nova Conexão: 0.555364
Nova Conexão: 0.557478
Nova Conexão: 0.582001
Nova Conexão: 0.610374
Nova Conexão: 0.611140
Nova Conexão: 0.626486
Nova Conexão: 0.631090
Nova Conexão: 0.632830
Nova Conexão: 0.636316
Nova Conexão: 0.648413
Nova Conexão: 0.661957
Nova Conexão: 0.668116
Nova Conexão: 0.669508
Nova Conexão: 0.670157
Nova Conexão: 0.670302
Nova Conexão: 0.724488
Nova Conexão: 0.729082
Nova Conexão: 0.743025
Nova Conexão: 0.804670
Nova Conexão: 0.843578
Nova Conexão: 0.850458
Nova Conexão: 0.865539
Nova Conexão: 0.869533
Nova Conexão: 0.874966
Nova Conexão: 0.881597
Nova Conexão: 0.896132
Nova Conexão: 0.900362
Nova Conexão: 0.925491
Nova Conexão: 0.940953
Nova Conexão: 0.953419
Nova Conexão: 0.954025
Nova Conexão: 0.955812
Nova Conexão: 0.971182
Nova Conexão: 0.978133
Nova Conexão: 0.980918
Nova Conexão: 0.996991
Nova Conexão: 1.026465
Nova Conexão: 1.029212
Nova Conexão: 1.029702
Nova Conexão: 1.041138
Nova Conexão: 1.047068
Nova Conexão: 1.053290
Nova Conexão: 1.055003
Nova Conexão: 1.090325
Nova Conexão: 1.090398
Nova Conexão: 1.098128
Nova Conexão: 1.098191
Nova Conexão: 1.104599
Nova Conexão: 1.108536
Nova Conexão: 1.113224
Nova Conexão: 1.113403
Nova Conexão: 1.154607
Nova Conexão: 1.158228
Nova Conexão: 1.207946
Nova Conexão: 1.220723
Nova Conexão: 1.235866
Nova Conexão: 1.251566
Nova Conexão: 1.261092
Nova Conexão: 1.263085
Nova Conexão: 1.273678
Nova Conexão: 1.301394
Nova Conexão: 1.304255
Nova Conexão: 1.312483
Nova Conexão: 1.322613
Nova Conexão: 1.326686
Nova Conexão: 1.327472
Nova Conexão: 1.344714
Nova Conexão: 1.346637
Nova Conexão: 1.348034
Nova Conexão: 1.350342
Nova Conexão: 1.363360
Nova Conexão: 1.375682
Nova Conexão: 1.396551
Nova Conexão: 1.457595
Nova Conexão: 1.465330
Nova Conexão: 1.465382
Nova Conexão: 1.472958
Nova Conexão: 1.474368
Nova Conexão: 1.492321
Nova Conexão: 1.501832
Nova Conexão: 1.508025
Nova Conexão: 1.511068
Nova Conexão: 1.521673
Nova Conexão: 1.558925
Nova Conexão: 1.566274
Nova Conexão: 1.570714
Nova Conexão: 1.597828
Nova Conexão: 1.601050
Nova Conexão: 1.628926
Nova Conexão: 1.638192
Nova Conexão: 1.654590
Nova Conexão: 1.664691
Nova Conexão: 1.680060
Nova Conexão: 1.711536
Nova Conexão: 1.714127
Nova Conexão: 1.718882
Nova Conexão: 1.748996
Nova Conexão: 1.759896
Nova Conexão: 1.781198
Nova Conexão: 1.831834
Nova Conexão: 1.841955
Nova Conexão: 1.843702
Nova Conexão: 1.844254
Nova Conexão: 1.880542
Nova Conexão: 1.890325
Nova Conexão: 1.892328
Nova Conexão: 1.919313
Nova Conexão: 1.922701
Nova Conexão: 1.925916
Nova Conexão: 1.950955
Nova Conexão: 1.959244
Nova Conexão: 1.987427
Nova Conexão: 1.998977
Nova Conexão: 2.015184
Nova Conexão: 2.038913
Nova Conexão: 2.047564
Nova Conexão: 2.075722
Nova Conexão: 2.089818
Nova Conexão: 2.118322
Nova Conexão: 2.139881
Nova Conexão: 2.172957
Nova Conexão: 2.182505
Nova Conexão: 2.192930
Nova Conexão: 2.196224
Nova Conexão: 2.217077
Nova Conexão: 2.217740
Nova Conexão: 2.219146
Nova Conexão: 2.228482
Nova Conexão: 2.232841
Nova Conexão: 2.270602
Nova Conexão: 2.291279
Nova Conexão: 2.297269
Nova Conexão: 2.332411
Nova Conexão: 2.342117
Nova Conexão: 2.351261
Nova Conexão: 2.352531
Nova Conexão: 2.354509
Nova Conexão: 2.355560
Nova Conexão: 2.359349
Nova Conexão: 2.365053
Nova Conexão: 2.369820
Nova Conexão: 2.372202
Nova Conexão: 2.376496
Nova Conexão: 2.440977
Nova Conexão: 2.460721
Nova Conexão: 2.472569
Nova Conexão: 2.477123
Nova Conexão: 2.478237
Nova Conexão: 2.503251
Nova Conexão: 2.540804
Nova Conexão: 2.563848
Nova Conexão: 2.578035
Nova Conexão: 2.590032
Nova Conexão: 2.601400
Nova Conexão: 2.644318
Nova Conexão: 2.664867
Nova Conexão: 2.668314
Nova Conexão: 2.681182
Nova Conexão: 2.691617
Nova Conexão: 2.737658
Nova Conexão: 2.747100
Nova Conexão: 2.765683
Nova Conexão: 2.772679
Nova Conexão: 2.806167
Nova Conexão: 2.812137
Nova Conexão: 2.821085
Nova Conexão: 2.845936
Nova Conexão: 2.846220
Nova Conexão: 2.866320
Nova Conexão: 2.868419
Nova Conexão: 2.875981
Nova Conexão: 2.909680
Nova Conexão: 2.931565
Nova Conexão: 2.932387
Nova Conexão: 2.932841
Nova Conexão: 2.943213
Nova Conexão: 2.953778
Nova Conexão: 2.957583
Nova Conexão: 3.024439
Nova Conexão: 3.025353
Nova Conexão: 3.064389
Nova Conexão: 3.072775
Nova Conexão: 3.085345
Nova Conexão: 3.086793
Nova Conexão: 3.167143
Nova Conexão: 3.228673
Nova Conexão: 3.230212
Nova Conexão: 3.299982
Nova Conexão: 3.306355
Nova Conexão: 3.308465
Nova Conexão: 3.309234
Nova Conexão: 3.340056
Nova Conexão: 3.367309
Nova Conexão: 3.375791
Nova Conexão: 3.379342
Nova Conexão: 3.381624
Nova Conexão: 3.471445
Nova Conexão: 3.502070
Nova Conexão: 3.502287
Nova Conexão: 3.532697
Nova Conexão: 3.535742
Nova Conexão: 3.543423
Nova Conexão: 3.562991
Nova Conexão: 3.565337
Nova Conexão: 3.573891
Nova Conexão: 3.582838
Nova Conexão: 3.618151
Nova Conexão: 3.618734
Nova Conexão: 3.626778
Nova Conexão: 3.639334
